category,text,char_length,word_count
politics,brown and blair face new rift claims for the umpteenth time  tony blair and gordon brown are said to have declared all out war on each other.  this time the alleged rift is over who should take the credit for the government s global aid and debt initiatives  particularly in the wake of the tsunami disaster - an issue many hoped and believed was above such things. it dominated the prime minister s monthly news conference  which saw mr blair start in full irritation mode as he was forced to bat away question after question about his relationship with his neighbour. as he told journalists:  i am not interested in what goes in and out of newspapers. there is a complete unity of purpose.  and he again heaped praise on mr brown saying he was doing a great job  and would continue doing it - although he would not commit to any job for mr brown after the election.  so why did he arrange his press conference at the last moment so it coincided with mr brown s long-arranged keynote speech on aid and debt  he was asked  by now mr blair had moved from irritation mode to his barely disguised fury setting. he snapped back that the hacks knew very well what the operational reasons were for the timing of his press conference. well  not really  as it happens.  and he repeated what a great man gordon was and how united they were  before again sneering that he took absolutely no notice of what went in and out of the newspapers  preferring to get on with the job of doing the best for the country and the world. although in the next breath he declared:  i get increasingly alarmed by what i read in the newspapers  before catching himself on and quickly adding:  in so far as i read them of course.  he probably had good reason to be alarmed because the newspapers had been full of stories about the claimed open warfare between the two men.  as far as the timing of the prime minister s press conference is concerned  there are two options. the first is that it was a calculated attempt to upstage the chancellor and seize back the initiative on the big issue of the moment. if that is the case it suggests that even the fear of seriously negative newspaper headlines is not enough to stop the squabbling. the second option is that it was an unavoidable coincidence  which would suggest the government has lost its once-famed ability to strictly co-ordinate announcements - through the infamous downing street grid - to avert just such allegations.  either way  the effect was the same - to overshadow the big announcements of government policy on a hugely pertinent issue. and there had been previous suggestions that the new year had started with a fresh outbreak of the warfare between the two men. firstly  the prime minister insisted on wednesday that he had been intimately involved in the development of the proposals to get g8 countries to freeze debt repayments from the tsunami-hit countries. it was claimed he had been embarrassed by the fact that gordon brown appeared to have taken the initiative over the government s response to the disaster while mr blair was still on holiday in egypt.  then  as if to pour fuel on the flames  both men separately spoke about working on tsunami or wider aid and development policy with their cabinet colleagues foreign secretary jack straw  aid minister hilary benn and deputy prime minister john prescott - without mentioning the other. all this came amid fresh claims that mr brown was still seething that he had been excluded from a prominent role in general election planning and had  as a result  started to set out his own platform. the fact that he used an article in the guardian newspaper to set out what he believed  should  be in the manifesto  has embarked on a mini tour of britain to set out his aid plans and will next week visit africa on the same mission - often seen as the prime minister s  turf  - has only added to the impression of rival camps operating entirely independently of each other. the prime minister denied all that as well  repeating his insistence that it was inconceivable the economy and the chancellor would not be at the centre of the election campaign. but the big fear with many on the labour benches now is that  unless a lid can be put on the speculation over the rivalry  it may even threaten to undermine the election campaign itself.,4332,771
business,small firms  hit by rising costs  rising fuel and materials costs are hitting confidence among the uk s small manufacturers despite a rise in output  business lobby group the cbi says.  a cbi quarterly survey found output had risen by the fastest rate in seven years but many firms were seeing the benefits offset by increasing expenses. the cbi also found spending on innovation  training and retraining is forecast to go up over the next year. however  firms continue to scale back investment in buildings and machinery.  the cbi said companies are looking to the government to lessen the regulatory load and are hoping interest rates will be kept on hold.  smaller manufacturers are facing an uphill struggle   said hugh morgan williams  chair of the cbi s sme council.  the manufacturing sector needs a period of long-term stability in the economy.  the cbi found some firms managed to increase prices for the first time in nine years - but many said increases failed to keep up the rise in costs. of the companies surveyed  30% saw orders rise and 27% saw them fall. the positive balance of plus 3 compared with minus 10 in the previous survey. when firms were questioned on output volume  the survey returned a balance of plus 8 - the highest rate of increase for seven years - and rose to plus 11 when looking ahead to the next three months.,1348,235
entertainment,spirit awards hail sideways the comedy sideways has dominated this year s independent spirit awards  winning all six of the awards for which it was nominated.  it was named best film while alexander payne won best director and best screenplay  along with writing partner jim taylor. it also won acting awards for stars paul giamatti  thomas haden church and virginia madsen. sideways is tipped to do well at sunday s oscars  with five nominations.  the awards  now in their 20th year  are given to films made outside the traditional studio system  and are traditionally held the day before the oscars. other winners included catalina sandino moreno  who took best actress for her role as a drug smuggler in the colombian drama maria full of grace. moreno is also nominated for best actress at the oscars. the best first screenplay award went to joshua marston for maria full of grace. scrubs star zach braff won the award for best first feature for garden state  which he wrote  directed and starred in. oscar-nominated euthanasia film the sea inside from spain won best foreign film  while metallica: some kind of monster was awarded best documentary. actor rodrigo de la serna took the best debut performance prize for the motorcycle diaries. the awards are voted for by the 9 000 members of the independent feature project/los angeles  which includes actors  directors  writers and other industry professionals. last year s big winner  lost in translation  went on to win the oscar for best original screenplay  for writer-director sofia coppola.,1549,254
tech,microsoft releases patches microsoft has warned pc users to update their systems with the latest security fixes for flaws in windows programs.  in its monthly security bulletin  it flagged up eight  critical  security holes which could leave pcs open to attack if left unpatched. the number of holes considered  critical  is more than usual. they affect windows programs  including internet explorer (ie)  media player and instant messaging. four other important fixes were also released. these were considered to be less critical  however. if not updated  either automatically or manually  pc users running the programs could be vulnerable to viruses or other malicious attacks designed to exploit the holes. many of the flaws could be used by virus writers to take over computers remotely  install programs  change  and delete or see data.  one of the critical patches microsoft has made available is an important one that fixes some ie flaws. stephen toulouse  a microsoft security manager  said the flaws were known about  and although the firm had not seen any attacks exploiting the flaw  he did not rule them out. often  when a critical flaw is announced  spates of viruses follow because home users and businesses leave the flaw unpatched. a further patch fixes a hole in media player  windows messenger and msn messenger which an attacker could use to take control of unprotected machines through .png files. microsoft announces any vulnerabilities in its software every month. the most important ones are those which are classed as  critical . its latest releases came the week that the company announced it was to buy security software maker sybari software as part of microsoft s plans to make its own security programs.,1732,279
sport,arsenal through on penalties arsenal win 4-2 on penalties  the spanish goalkeeper saved from alan quinn and jon harley as arsenal sealed a quarter-final trip to bolton with a 4-2 victory on penalties. lauren  patrick vieira  freddie ljungberg and ashley cole scored for arsenal  while andy gray and phil jagielka were on target for the blades. michael tonge and harley wasted chances for the underdogs  but paddy kenny was inspired to keep arsenal at bay. arsenal  stripped of attacking talent such as thierry henry and dennis bergkamp  partnered 17-year-old italian striker arturo lupoli with ljungberg up front. it was a revamped arsenal line-up  and they were almost a goal behind within seconds as tonge wasted a glorious chance. gray ran free down the right flank  and his cross left tonge with the simplest of chances  but he blazed over the top from six yards.  arsenal were barely seen as an attacking force in the opening 45 minutes  although ljungberg turned a half-chance wide after good work by cesc fabregas. arsene wenger introduced quincy owusu-abeyie for the ineffective lupoli at half-time  and the pacy dutch youngster had an immediate impact. he ran clear after good work by mathieu flamini  but his finish was tame and kenny saved easily. owusu-abeyie then fired in a testing cross  which was met by fabregas  and it needed a desperate clearance by kenny s legs to save the blades. arsenal were now totally dominant  and were desperately unlucky not to take the lead after 62 minutes when fabregas crashed a rising drive against the bar from 20 yards. it then took a brilliant tackle by jagielka to deny ljungberg as he was poised to strike. arsenal continued to press  and once again kenny was called into action with eight minutes left  diving low to clutch another close-range effort from fabregas. neil warnock s side almost snatched victory in the dying seconds when derek geary s cross found harley at the far post  but his diving header was brilliantly turned over by almunia. owusu-abeyie s pace was causing all sorts of problems for the blades  and as extra-time began  another surging run into the penalty area almost set up a chance for ljungberg. pascal cygan missed arsenal s best chance after 106 minutes  blazing across the face of goal when he was unmarked at the far post. arsenal sent on jeremie aliadiere with seven minutes of extra-time left  and he almost broke the deadlock with his first touch. kolo toure s misplaced free-kick landed at his feet  but kenny once again blocked from a tight angle. arsenal laid siege to sheffield united s goal in the dying minutes  but they somehow held on to force penalties. almunia was then arsenal s hero as another brave blades cup campaign came to a losing end.  kenny  geary  morgan  bromby  harley  liddell  montgomery  jagielka  thirlwell  tonge (quinn 97)  gray.  subs not used: francis  kabba  shaw  haystead.  morgan.  almunia  lauren  cygan  senderos  cole  fabregas (toure 90)  vieira  flamini (aliadiere 113)  clichy  lupoli (owusu-abeyie 45)  ljungberg.  subs not used: eboue  taylor.  clichy  lauren  senderos.  27 595  p dowd (staffordshire).,3136,517
business,jobs go at oracle after takeover oracle has announced it is cutting about 5 000 jobs following the completion of its $10.3bn takeover of its smaller rival peoplesoft last week.  the company said it would retain more than 90% of peoplesoft product development and product support staff. the cuts will affect about 9% of the 55 000 staff of the combined companies. oracle s 18-month fight to acquire peoplesoft was one of the most drawn-out and hard-fought us takeover battles of recent times. the merged companies are set to be a major force in the enterprise software market  second only in size to germany s sap.  in a statement  oracle said it began notifying staff of redundancies on friday and the process would continue over the next 10 days.  by retaining the vast majority of peoplesoft technical staff  oracle will have the resources to deliver on the development and support commitments we have made to peoplesoft customers over the last 18 months   oracle s chief executive larry ellison said in a statement.  correspondents say 6 000 job losses had been expected - and some suggest more cuts may be announced in future. they say mr ellison may be trying to placate peoplesoft customers riled by oracle s determined takeover strategy. hours before friday s announcement  there was a funereal air at peoplesoft s headquarters  reported ap news agency. a peoplesoft sign had been turned into shrine to the company  with flowers  candles and company memorabilia.  we re mourning the passing of a great company   the agency quoted peoplesoft worker david ogden as saying. other employees said they would rather be sacked than work for oracle.  the new company is going to be totally different   said anil aggarwal  peoplesoft s director of database markets.  peoplesoft had an easygoing  relaxed atmosphere. oracle has an edgy  aggressive atmosphere that s not conducive to innovative production.  on the news  oracle shares rose 15 cents - 1.1% - on nasdaq. in after-hours trading the shares did not move.,2012,333
business,id theft surge hits us consumers almost a quarter of a million us consumers complained of being targeted for identity theft in 2004  official figures suggest.  the federal trade commission said two in five of the 635 173 reports it had from consumers concerned id fraud. id theft occurs when criminals use someone else s personal information to steal credit or commit other crimes. internet auctions were the second biggest source of fraud complaints  comprising 16% of the total. the total cost of fraud reported by consumers was $546m (£290m).  the report marks the fifth year in a row in which identity fraud has topped the table. the biggest slice of the 246 570 id fraud cases reported - almost 30% - concerned abuses of people s credit. misusing someone s identity to claim new credit cards or loans comprised 16.5% of the total  with almost 12% coming from false claims on existing credit. another 18% came from attempts to rip off people s bank accounts  while 13% of cases concerned attempts to defraud employers by abusing someone else s identity. outside the field of id theft  53% of the near-400 000 complaints were internet-related. among the 100 000 internet auction complaints  the failure of sellers to deliver or the supply of sub-standard goods were the most common woes reported. catalogue and home-shopping frauds were next in line  accounting for 8% of total complaints  while concerns about internet services and computers - including spyware found on people s pcs and undisclosed charges for websites - amounted to 6% of complaints.,1556,260
sport,poll explains free-kick decision referee graham poll said he applied the laws of the game in allowing arsenal striker thierry henry s free-kick in sunday s 2-2 draw with chelsea.  keeper petr cech was organising his defensive wall when henry s quick free-kick flew in  which angered chelsea.  the whistle doesn t need to be blown. i asked henry  do you want a wall  . he said  can i take it please   he was very polite. i said  yes    said poll.  i deal with the laws of the game. i deal with fact.  poll added:  i gave the signal for him to take it. that s what he did.  the same thing happened when i refereed chelsea against west ham in an fa cup replay two years ago - when jimmy floyd hasselbaink scored - and i don t remember them complaining about that.  henry explained why he paused before striking the ball for the goal  which put arsenal 2-1 ahead.  henry told bbc radio five live:  the ref asked me if i wanted 10 yards or if i wanted to take it straight away and i said that i wanted to take it straight away. he said to me   go .  it looks a bit strange because i took my time. i was waiting for eidur gudjohnsen to move and give me some space.  at one point  he turned and that s when i tried it.  former referees  chief philip don backed poll s decision to allow the strike.  the advantage should go to the non-offending team. on this occasion it was arsenal   don told bbc radio five live.  referees have been told to ask the player  do you want to take the quick free-kick   or  do you want me to get the wall back 9.15 metres    if they say  quick   the referee tends to move away and allow the kick.  don was head of the referees for the premier league and revealed all clubs were informed of free-kick options.  we spoke to all the premier league clubs as well as all the football league clubs in the summer of 2003 explaining what the situation was   he added  we gave them the option of either the quick free-kick or the  ceremonial  free-kick. players and clubs were aware of what referees were doing.,2025,383
sport,parmar ruled out of davis cup tie a knee injury has forced arvind parmar out of great britain s davis cup tie in israel and left alex bogdanovic in line to take the second singles place.  parmar picked up the injury last week and has failed to recover in time for the europe/africa zone i tie  which begins in tel aviv on friday. bogdanovic looks set to take the second singles place alongside greg rusedski. gb captain jeremy bates could use 17-year-old andrew murray and david sherwood in the doubles rubber. bogdanovic and murray both pulled out of tournaments last week through injury but are expected to be fit. jamie delgado and lee childs have been called into the squad in tel aviv as designated hitters for team practice but bates has no plans to call either of them into his squad at present.  the unheralded sherwood was the surprise inclusion when the squad was announced last week  and bates said:  david has earned his place in this squad on the merit of his form and results over the last 12 months.  the 6ft 4in sherwood is ranked 264th in the world and the lta have high hopes for him after futures tournament wins in wrexham and edinburgh.  the sheffield-born right-hander  aged 24  also reached another final in plaisir  france  a week after making the semi-final in mulhouse. bates is glad to have rusedski available after tim henman s retirement from davis cup tennis.  his wealth of experience is invaluable  particularly to the younger players and i know he will lead by example   bates said.  we are looking forward to the tie. the squad are all in excellent form.,1588,279
tech,video phones act as dating tools technologies  from e-mail  to net chatrooms  instant messaging and mobiles  have proved to be a big pull with those looking for love.  the lure once was that you could hide behind the technology  but now video phones are in on the act to add vision. hundreds have submitted a mobile video profile to win a place at the world s first video mobile dating event. the top 100 meet their match on 30 november at london s institute of contemporary arts (ica). the event  organised by the 3g network  3  could catch on as the trend for unusual dating events  like speed dating  continues.  it s the beginning of the end of the blind date as we know it   said graeme oxby  3 s marketing director. the response has been so promising that 3 says it is planning to launch a proper commercial dating service soon. hundreds of hopefuls submitted their profiles  and special booths were set up in a major london department store for two weeks where expert tips were given on how to visually improve their chances. the 100 most popular contestants voted by the public will gather at the ica in separate rooms and  meet  by phone.  dating services and other more adult match-making services are proving to be a strong stream of revenue worth millions for mobile companies. whether it does actually provide an interesting match for video phone technologies remains to be seen. flic everett  journalist and dating expert for company magazine and the daily express  thinks technology has been liberating for some nervous soul-mate seekers. there are currently about 1.3 million video phones in use in the uk and three times more single people in britain than there were 30 years ago  with more people buying video mobiles  3g dating could be the basis for a successful and safe way to meet people.   one of the problems with video phones is people don t really know what to video. it is a weird technology. we have not quite worked out what it is for. this gives it a focus and a useful one   she told bbc news.  i would never have thought online dating would take off the way it did   she said.  lots of people find it easier to be honest writing e-mail or text than face-to-face. lots people are quite shy and they feel vulnerable.   when you are writing  it comes directly onto the page so they tend to be more honest.  but the barrier that comes with sms chat and online match-making is that the person behind the profile may not be who they really are. scare stories have put people off as a result  according to ms everett. many physical clues  body language  odd twitches  are obviously missing with sms and online dating services. still images do not necessarily provide all those necessary cues.  it could really take off because you do get the whole package. with a static e-mail picture  you don t know who the person is behind it is.  so checking out a potential date by video phone also gives singletons a different kind of barrier  an extra layer of protection; a case of wlts before wltm.  if you are trapped in real-life blind date context  you can t get away and you feel embarrassed.  with a video meeting  you really have the barrier of the phone so if you don t like them you don t have to suffer the embarrassment.   there is a more serious side to this new use of technology though. with money being made through more adult-themes content and services which let people meet and chat  the revenue streams for mobile carriers will grow with 3g  thinks paolo pescatore mobile industry specialist for analysts idc.  wireless is a medium that is being exploited with a number of features and services. one is chatting and the dating element is key there   he said.  the foundation has been set by sms and companies are using media like mms and video to grow the market further.  but carriers need to be wary and ensure that if they do launch such 3g dating services  they ensure mechanism are in place to monitor and be aware who is registers and accesses these services on regular basis  he cautioned. in july  vodafone introduced a content control system to protect children from such adult content. the move was as a result of a code of practice agreed by the uk s six largest mobile phone operators in january. the system means vodafone users need to prove they are over 18 before firewalls are lifted on explicit websites or chat rooms dealing with adult themes. the impetus was the growing number of people with handsets that could access the net  and the growth of 3g technologies.,4519,802
